Count,Sport,Matchup,Pick Type,Pick
11,NBA,Charlotte @ Indiana,Spread (ATS),IND +1.5
11,NBA,Houston @ Cleveland,Spread (ATS),HOU -1.5
11,College Basketball,Harvard @ Penn St.,Spread (ATS),HARV +12.5
10,NHL,Boston @ Anaheim,Spread (ATS),ANA -170
9,NBA,Sacramento @ Oklahoma City,Total (Over),Over 232.5
9,NBA,Chicago @ Portland,Spread (ATS),CHI -2.5
9,NBA,Sacramento @ Oklahoma City,Spread (ATS),OKC -18.5
8,NBA,New York @ Dallas,Spread (ATS),NY -5.5
8,NHL,Boston @ Anaheim,Spread (ATS),BOS +145
8,College Football,Miami (OH) @ Buffalo,Spread (ATS),M-OH -1.5
7,NBA,Houston @ Cleveland,Total (Over),Over 233.0
7,NBA,Denver @ New Orleans,Spread (ATS),DEN -14.5
7,NBA,New York @ Dallas,Total (Over),Over 228.5
7,NHL,Calgary @ Buffalo,Spread (ATS),BUF -150
7,NHL,Edmonton @ Washington,Total (Over),Over 6.0
7,NHL,Calgary @ Buffalo,Spread (ATS),BUF -170
7,College Basketball,UC Irvine @ Utah Valley,Total (Over),Over 145.5
7,College Basketball,Alabama St. @ Air Force,Total (Under),Under 141.0
7,College Basketball,Villanova @ La Salle,Spread (ATS),LAS +11.5
7,College Basketball,Alabama @ Illinois,Spread (ATS),ALA +3.5
6,NFL,Buffalo @ Houston,Spread (ATS),BUF -2.5
6,NFL,Buffalo @ Houston,Total (Over),Over 43.5
6,NBA,Denver @ New Orleans,Spread (ATS),DEN -13.5
6,NBA,Sacramento @ Oklahoma City,Spread (ATS),SAC +18.5
6,NBA,New York @ Dallas,Spread (ATS),NY -4.5
6,NBA,Golden State @ Miami,Spread (ATS),GS +6.5
6,NBA,Denver @ New Orleans,Total (Over),Over 233.5
6,NBA,Washington @ Minnesota,Spread (ATS),MIN -16.0
6,NBA,Golden State @ Miami,Spread (ATS),MIA -6.5
6,NHL,Edmonton @ Washington,Spread (ATS),WAS -115
6,NHL,Boston @ Anaheim,Total (Over),Over 6.5
6,College Basketball,UMass Lowell @ Bradley,Spread (ATS),BRAD -20.0
6,College Basketball,Valparaiso @ Cleveland St.,Spread (ATS),CLEV -2.5
5,NBA,Charlotte @ Indiana,Total (Under),Under 236.5
5,NBA,Golden State @ Miami,Total (Over),Over 232.5
5,NBA,Toronto @ Philadelphia,Spread (ATS),TOR -1.0
5,NBA,Charlotte @ Indiana,Spread (ATS),CHA -1.5
5,NHL,Edmonton @ Washington,Spread (ATS),EDM -105
5,College Football,Central Michigan @ Kent State,Spread (ATS),KENT +8.5
5,College Football,Miami (OH) @ Buffalo,Total (Over),Over 40.0
5,College Basketball,North Dakota @ Creighton,Total (Over),Over 157.5
5,College Basketball,Hofstra @ Temple,Spread (ATS),HOF +5.5
5,College Basketball,Middle TN @ Michigan,Total (Over),Over 157.5
5,College Basketball,UMBC @ GW,Spread (ATS),UMBC +23.0
5,College Basketball,South Alabama @ Jacksonville St.,Total (Under),Under 136.5
5,College Basketball,Chattanooga @ SC State,Total (Under),Under 158.5
5,College Basketball,Youngstown St. @ Toledo,Spread (ATS),YSU +1.0
5,College Basketball,Jackson State @ Auburn,Total (Under),Under 155.5
5,College Basketball,Howard @ Stetson,Spread (ATS),STET +2.5
5,College Basketball,North Dakota @ Creighton,Total (Under),Under 157.5
5,College Basketball,Arkansas St. @ Saint Mary's,Spread (ATS),ARST +19.5
5,College Basketball,Jackson State @ Auburn,Spread (ATS),JKST +30.5
4,NFL,Buffalo @ Houston,Total (Under),Under 44.0
4,NBA,Houston @ Cleveland,Total (Over),Over 232.5
4,NBA,Toronto @ Philadelphia,Total (Under),Under 236.5
4,NBA,Charlotte @ Indiana,Total (Under),Under 235.5
4,NBA,New York @ Dallas,Total (Over),Over 226.5
4,NBA,Toronto @ Philadelphia,Total (Under),Under 234.0
4,NBA,Washington @ Minnesota,Spread (ATS),WAS +16.0
4,NBA,Washington @ Minnesota,Total (Under),Under 237.5
4,NBA,Chicago @ Portland,Total (Over),Over 243.5
4,NHL,Carolina @ Minnesota,Total (Under),Under 6.0
4,NHL,Carolina @ Minnesota,Spread (ATS),MIN +140
4,NHL,Carolina @ Minnesota,Total (Over),Over 6.0
4,NHL,Carolina @ Minnesota,Spread (ATS),MIN +125
4,NHL,Calgary @ Buffalo,Spread (ATS),CAL +145
4,College Basketball,Loyola (MD) @ Duquesne,Spread (ATS),DUQ -13.0
4,College Basketball,Tennessee Tech @ USC Upstate,Spread (ATS),TNTC +2.5
4,College Basketball,FGCU @ Samford,Spread (ATS),SAM -2.5
4,College Basketball,Kansas City @ Texas Christian,Total (Over),Over 149.5
4,College Basketball,Alabama St. @ Air Force,Spread (ATS),AFA -1.5
4,College Basketball,Bellarmine @ Notre Dame,Total (Under),Under 149.5
4,College Basketball,Arizona @ Connecticut,Spread (ATS),CONN -5.5
4,College Basketball,William & Mary @ Bowling Green,Spread (ATS),BGSU -7.0
4,College Basketball,VMI @ Richmond,Total (Under),Under 151.5
4,College Basketball,Bryant @ Virginia Tech,Spread (ATS),VT -25.5
4,College Basketball,Villanova @ La Salle,Total (Over),Over 144.0
4,College Basketball,South Florida @ Oklahoma State,Spread (ATS),USF +4.5
4,College Basketball,Southern Utah @ Washington St.,Spread (ATS),WSU -12.5
4,College Basketball,Villanova @ La Salle,Total (Under),Under 144.0
4,College Basketball,Mount St. Mary's @ Maryland,Spread (ATS),MSM +19.5
4,College Basketball,Howard @ Stetson,Total (Under),Under 149.5
4,College Basketball,UMass Lowell @ Bradley,Total (Under),Under 149.0
4,College Basketball,Campbell @ Weber St.,Spread (ATS),CAMP +3.5
4,College Basketball,Southern Utah @ Washington St.,Spread (ATS),SUU +12.5
4,College Basketball,Mount St. Mary's @ Maryland,Spread (ATS),MD -19.5
4,College Basketball,Louisiana Tech @ Indiana St.,Spread (ATS),INST -3.5
4,College Basketball,South Florida @ Oklahoma State,Spread (ATS),OKST -4.5
4,College Basketball,VMI @ Richmond,Spread (ATS),VMI +12.5
4,College Basketball,Harvard @ Penn St.,Total (Under),Under 142.5
3,NFL,Buffalo @ Houston,Total (Over),Over 44.0
3,NBA,Houston @ Cleveland,Spread (ATS),HOU -1.0
3,NBA,New York @ Dallas,Spread (ATS),DAL +5.5
3,NBA,Chicago @ Portland,Total (Under),Under 243.5
3,NBA,Washington @ Minnesota,Total (Over),Over 237.5
3,NBA,Sacramento @ Oklahoma City,Total (Under),Under 232.5
3,NBA,Washington @ Minnesota,Spread (ATS),MIN -15.5
3,NBA,Toronto @ Philadelphia,Total (Under),Under 233.5
3,NBA,Toronto @ Philadelphia,Spread (ATS),PHI +1.5
3,NHL,Calgary @ Buffalo,Total (Over),Over 6.0
